Title,2ndTitle/use,archived,category,definition
Developmental Pediatrics Appointment.,new patient referral,false,MEDICAL,"""Follow up with a developmental medical provider is recommended. This allows for follow-up of the interventions elected, examination of diagnosis, and answering questions about educational and therapeutic choices.  A developmental medical provider can closely examine medical aspects that may also be present. This may also be an opportunity for families to ask questions that may have come up since this visit. A follow-up appointment can be made by calling Kirch Developmental Services Center at 585-275-2986."""
Developmental Pediatrics Appointment.,already being seen here,false,MEDICAL,"""Continue regular follow up here at Kirch with a developmental pediatrician/NP.  We would like to continue monitoring [[FNAME]]'s progress and advise [[HISHERTHEIR]] family as [[HESHETHEY]] grows.  How often [[HESHETHEY]] should be seen should be determined by family and the medical provider.  A follow-up appointment can be made by calling Kirch Developmental Services Center at 585-275-2986."""
Developmental Pediatrics Appointment.,on-going monitoring complex case,false,MEDICAL,"""[[FNAME]] presents with more than one potential developmental issue and testing today is somewhat mixed.  In order to monitor [[FNAME]]'s ***, I would recommend that [[FNAME]] continue to be followed by a developmental medical provider who has experience working with children with ***. I believe it would be helpful to get a second â€œeyes onï¿½? from another Kirch staff member for a second opinion.  It is not necessary to repeat today's testing at that time."""
Psychology Parent Conference.,follow-up with psychology,,MEDICAL,"""I recommend that [[FNAME]]ï¿½s {parent/caregiver:28140} schedule an appointment to meet with me on the same day as [[HE]] meets with a developmental medical provider at Kirch. I would prefer that the medical provider meet with [[FNAME]] and his {parent/caregiver:28140} first, after which I will talk with the developmental pediatrician in order to further clarify [[FNAME]]'s diagnosis."""
Coordinated Adult Health Care.,adult health care referral ,,MEDICAL,"""I discussed with [[FNAME]]'s {parent/caregiver:28140}  the importance of connecting [[FNAME]] with a health care provider that can provide continuity as [[HE]] transitions to the adult health care system. One option could include the Culver Medical Group, which is affiliated with the University of Rochester Medical Center. More information can be obtained by calling (585) 654-5432 or going to their website at https://www.urmc.rochester.edu/primary-care/practices/culver-medical-group.aspx. """
Pediatric Neurology Appointment.,N/A,,MEDICAL,"""[[FNAME]] demonstrated motor and vocal tics during todayï¿½s evaluation that appear consistent with a diagnosis of Touretteï¿½s syndrome. I recommend that [[FNAME]]ï¿½s {parent/caregiver:28140} discuss these tic behaviors with [[FNAME]]ï¿½s primary care physician and inquire about referrals for local providers who can provide a detailed neurological assessment related to these behaviors."""
Monitoring and Intervention for ADHD.,N/A,,MEDICAL,"""At present, [[FNAME]]ï¿½s ADHD symptoms appear to be interfering with [[HIS]] functioning at school and at home. Considering the potential for symptoms to negatively impact functioning in the future, we recommend that the family seek individualized treatment to target specific areas of need. For [[FNAME]], this may incorporate the following elements: 

Coordination with Specialists. The family was encouraged to discuss this report with their primary care provider, therapist, and other specialists involved in monitoring behavior.
Behavioral Intervention and Parent Training. Based on observation and parent report, [[FNAME]] demonstrates improved focus and is more successful in the context of structured activities (e.g., classroom). This can be difficult for families, as children with this profile often display more prominent symptoms at home, as compared to at school. As such, for many families, we recommend working with a psychologist or psychiatrist who can coordinate behavioral strategies at home to help address symptoms of ADHD. This professional should involve [[FNAME]]ï¿½s parents both in the identification of therapy goals and in the implementation of behavioral intervention, to ensure consistency of treatment strategies across settings. 
Social Skills Groups. Considering [[FNAME]]ï¿½s difficulties sustaining appropriate peer interactions and developing friendships, [[HE]] may benefit from participation in social skills groups. Group-based learning would be especially suited for [[FNAME]], as it provides ongoing learning opportunities and takes advantage of [[HIS]] inherent social motivation. Ideally, these groups should teach concrete rules for social interaction and include a combination of direct instruction and practice. 
Medication Consultation. Many children show significant ADHD symptom improvement in response to consistent behavioral intervention. Others may show some improvement, but continue to present with clinically significant symptoms over time. As such, [[FNAME]]ï¿½s family may wish to consider consulting with [[HIS]] pediatrician to explore the potential role of medication in addressing [[FNAME]]ï¿½s ADHD symptoms. Ongoing monitoring of [[FNAME]]ï¿½s behavior at home and school, both on and off medication, is strongly recommended to comprehensively evaluate medication benefits and potential side effects. In addition, frequent communication among the prescribing physician, [[FNAME]]ï¿½s family, and school staff, is recommended.

	Additional resources are available on the Kirch website at: 	http://www.Golisano.urmc.edu/kirch
"""
Mental Health System Utilization.,N/A,,MEDICAL,"""[[FNAME]]ï¿½s {parent/caregiver:28140} and I discussed the importance of determining the appropriate system for accessing services and supports for [[FNAME]], and I strongly encouraged [[HIS]] {parent/caregiver:28140}  to review the Office of Mental Health (OMH) guidelines. I recommend that [[FNAME]]ï¿½s {parent/caregiver:28140} review the following web-sites and discuss potential next steps with [[HIS]] team of educators and health care providers:
New York State OMH Guidelines - https://www.omh.ny.gov/omhweb/guidance/hcbs/html/section_500_1.htm
Documentation for Waiver - https://www.omh.ny.gov/omhweb/guidance/hcbs/html/section_800.htm
"""
Behavioral Supports for Families Clinic (BIFF).,N/A,,MEDICAL,"""The Behavior Supports for Families Program is run through the Kirch clinic that teaches caregivers about how to take data on their childï¿½s behavior, figure out the functions of their behavior, and use parent-implemented behavioral interventions. A therapist meets individually with caregivers once a week for 6-16 weeks (depending on the family's needs) and teaches them about behavioral interventions using a structured curriculum. [[FNAME]]ï¿½s {parent/caregiver:28140} could learn about the basics of behavior, prevention strategies, rewarding positive behaviors, using visual supports and daily schedules, increasing compliance, how to use planned ignoring and time out, and how to teach new skills. Although a structured curriculum is utilized, the program is individualized to the unique needs of each child and family. Should [[FNAME]]ï¿½s {parent/caregiver:28140} be interested in this program, they can contact our intake coordinator at 585-275-2986."""
Incredible Years:,N/A,,MEDICAL,"""People's Inc. offers free training designed to teach parents who have children with special needs to foster positive relationships with their children, improve childrenï¿½s compliance and cooperation, decrease negative behaviors at home and develop social skills. More information can be obtained by calling Shannon Bianco at (716) 880-3826 or going to http://www.people-inc.org/children_services_home"""
